title,genre,language,year,rating,director,cast,description,mood_tags
Inception,Sci-Fi/Action,English,2010,8.8,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page","A skilled thief enters dreams to steal secrets and is offered a chance to erase his past.","bored exciting thriller sci-fi action energetic"
Interstellar,Sci-Fi/Adventure,English,2014,8.7,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain","A group of astronauts travels through a wormhole to find a new home for humanity.","motivated inspiring emotional sci-fi adventure comfort"
The Dark Knight,Action/Crime,English,2008,9.0,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart","Batman faces the Joker, a criminal mastermind who wants to create chaos in Gotham City.","bored exciting action crime energetic dark"
John Wick,Action/Thriller,English,2014,7.4,Chad Stahelski,"Keanu Reeves, Michael Nyqvist, Alfie Allen","A retired assassin returns to the underworld after criminals take everything from him.","bored exciting action thriller energetic"
Mad Max: Fury Road,Action/Adventure,English,2015,8.1,George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult","In a desert wasteland, two rebels fight to escape a tyrant and protect a group of prisoners.","bored exciting adventure action energetic"
The Matrix,Sci-Fi/Action,English,1999,8.7,Lana Wachowski and Lilly Wachowski,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss","A computer hacker discovers that reality is a simulation controlled by intelligent machines.","bored exciting action sci-fi motivated"
Parasite,Thriller/Drama,Korean,2019,8.5,Bong Joon-ho,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong","A poor family slowly infiltrates a wealthy household, leading to unexpected consequences.","bored thriller dark drama exciting"
Train to Busan,Action/Thriller,Korean,2016,7.6,Yeon Sang-ho,"Gong Yoo, Jung Yu-mi, Ma Dong-seok","Passengers on a train fight for survival during a sudden zombie outbreak in South Korea.","bored exciting action thriller emotional"
The Godfather,Crime/Drama,English,1972,9.2,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan","The aging leader of a powerful crime family transfers control to his reluctant son.","sad emotional crime drama family dark"
Pulp Fiction,Crime/Drama,English,1994,8.9,Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson","Several connected stories follow criminals, a boxer, and a mysterious briefcase in Los Angeles.","bored exciting crime drama dark"
The Shawshank Redemption,Drama,English,1994,9.3,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton","Two imprisoned men form a friendship and find hope over many years behind bars.","motivated inspiring emotional comfort sad"
Spirited Away,Animation/Fantasy,Japanese,2001,8.6,Hayao Miyazaki,"Rumi Hiiragi, Miyu Irino, Mari Natsuki","A young girl enters a magical world and must save her parents from a witch's spell.","happy feel-good family relaxing animation comfort"
Your Name,Animation/Romance,Japanese,2016,8.4,Makoto Shinkai,"Ryunosuke Kamiki, Mone Kamishiraishi, Ryo Narita","Two teenagers mysteriously swap bodies and build a bond across time and distance.","sad emotional romantic comfort feel-good animation"
3 Idiots,Comedy/Drama,Hindi,2009,8.4,Rajkumar Hirani,"Aamir Khan, R. Madhavan, Sharman Joshi","Three engineering students challenge a strict education system while learning about friendship.","happy motivated inspiring comedy feel-good family"
Coco,Animation/Adventure,English,2017,8.4,Lee Unkrich,"Anthony Gonzalez, Gael Garcia Bernal, Benjamin Bratt","A young musician enters the Land of the Dead to discover the truth about his family.","happy family feel-good animation emotional comfort"
The Social Network,Biography/Drama,English,2010,7.8,David Fincher,"Jesse Eisenberg, Andrew Garfield, Justin Timberlake","A Harvard student creates a social media platform that changes the internet and his life.","motivated inspiring biography drama"
La La Land,Romance/Drama,English,2016,8.0,Damien Chazelle,"Ryan Gosling, Emma Stone, John Legend","An aspiring actress and a jazz musician fall in love while pursuing their dreams in Los Angeles.","romantic emotional sad comfort inspiring"
The Grand Budapest Hotel,Comedy/Adventure,English,2014,8.1,Wes Anderson,"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric","A hotel concierge and a lobby boy become involved in a theft and a family inheritance battle.","happy comedy feel-good adventure relaxing"
Knives Out,Mystery/Comedy,English,2019,7.9,Rian Johnson,"Daniel Craig, Chris Evans, Ana de Armas","A detective investigates the suspicious death of a wealthy crime novelist and his unusual family.","bored comedy exciting mystery feel-good"
Amelie,Romance/Comedy,French,2001,8.3,Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz, Rufus","A shy waitress in Paris decides to improve the lives of people around her in secret.","lonely romantic comedy feel-good comfort happy relaxing"
